"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00050848","BOULDER, CO US","2021-05-11","0.46","0.2","42","33"
"USC00050848","BOULDER, CO US","2021-05-12","0.00","0.0","62","33"
"USC00050848","BOULDER, CO US","2021-05-13","0.00","0.0","75","35"
"USC00050848","BOULDER, CO US","2021-05-14","0.00","0.0","72","41"
"USC00050848","BOULDER, CO US","2021-05-15","0.02","0.0","67","43"
"USC00050848","BOULDER, CO US","2021-05-16","0.00","0.0","59","46"
"USC00050848","BOULDER, CO US","2021-05-17","0.12","0.0","63","50"
"USC00050848","BOULDER, CO US","2021-05-18","0.82","0.0","64","43"
"USC00050848","BOULDER, CO US","2021-05-19","0.00","0.0","71","42"
"USC00050848","BOULDER, CO US","2021-05-20","0.02","0.0","78","42"
"USC00050848","BOULDER, CO US","2021-05-21","0.00","0.0","76","49"
"USC00050848","BOULDER, CO US","2021-05-22","0.00","0.0","73","43"
"USC00050848","BOULDER, CO US","2021-05-23","0.39","0.0","75","51"
"USC00050848","BOULDER, CO US","2021-05-24","0.00","0.0","73","36"
"USC00050848","BOULDER, CO US","2021-05-25","0.00","0.0","76","46"
"USC00050848","BOULDER, CO US","2021-05-26","0.00","0.0","78","46"
"USC00050848","BOULDER, CO US","2021-05-27","0.00","0.0","77","45"
"USC00050848","BOULDER, CO US","2021-05-28","0.00","0.0","79","44"
"USC00050848","BOULDER, CO US","2021-05-29","0.03","0.0","71","45"
"USC00050848","BOULDER, CO US","2021-05-30","1.43","0.0","64","47"
"USC00050848","BOULDER, CO US","2021-05-31","0.21","0.0","57","46"
"USC00050848","BOULDER, CO US","2021-06-01","0.03","0.0","68","39"
"USC00050848","BOULDER, CO US","2021-06-02","0.00","0.0","74","44"
"USC00050848","BOULDER, CO US","2021-06-03","0.00","0.0","82","46"
"USC00050848","BOULDER, CO US","2021-06-04","0.00","0.0","87","50"
"USC00050848","BOULDER, CO US","2021-06-05","0.00","0.0","91","53"
"USC00050848","BOULDER, CO US","2021-06-06","0.01","0.0","88","59"
"USC00050848","BOULDER, CO US","2021-06-07","0.00","0.0","85","50"
"USC00050848","BOULDER, CO US","2021-06-08","0.00","0.0","88","51"
"USC00050848","BOULDER, CO US","2021-06-09","0.00","0.0","89","54"
"USC00050848","BOULDER, CO US","2021-06-10","0.00","0.0","91","53"
"USC00050848","BOULDER, CO US","2021-06-11","0.00","0.0","90","58"
"USC00050848","BOULDER, CO US","2021-06-12","0.00","0.0","86","46"
"USC00050848","BOULDER, CO US","2021-06-13","0.00","0.0","92","54"
"USC00050848","BOULDER, CO US","2021-06-14","0.00","0.0","94","57"
"USC00050848","BOULDER, CO US","2021-06-15","0.00","0.0","96","57"
"USC00050848","BOULDER, CO US","2021-06-16","0.00","0.0","99","62"
"USC00050848","BOULDER, CO US","2021-06-17","0.00","0.0","99","59"
"USC00050848","BOULDER, CO US","2021-06-18","0.00","0.0","91","65"
"USC00050848","BOULDER, CO US","2021-06-19","0.01","0.0","89","58"
"USC00050848","BOULDER, CO US","2021-06-20","0.00","0.0","81","64"
"USC00050848","BOULDER, CO US","2021-06-21","0.23","0.0","75","50"
"USC00050848","BOULDER, CO US","2021-06-22","0.00","0.0","93","48"
"USC00050848","BOULDER, CO US","2021-06-23","0.00","0.0","96","61"
"USC00050848","BOULDER, CO US","2021-06-24","0.03","0.0","85","63"
"USC00050848","BOULDER, CO US","2021-06-25","0.44","0.0","77","53"
"USC00050848","BOULDER, CO US","2021-06-26","1.03","0.0","69","53"
"USC00050848","BOULDER, CO US","2021-06-27","0.01","0.0","72","50"
"USC00050848","BOULDER, CO US","2021-06-28","0.20","0.0","72","51"
"USC00050848","BOULDER, CO US","2021-06-29","0.00","0.0","76","49"
"USC00050848","BOULDER, CO US","2021-06-30","0.00","0.0","81","50"
"USC00050848","BOULDER, CO US","2021-07-01","1.36","0.0","77","57"
"USC00050848","BOULDER, CO US","2021-07-02","0.04","0.0","83","52"
"USC00050848","BOULDER, CO US","2021-07-03","0.19","0.0","87","55"
"USC00050848","BOULDER, CO US","2021-07-04","0.00","0.0","85","57"
"USC00050848","BOULDER, CO US","2021-07-05","0.00","0.0","86","56"
"USC00050848","BOULDER, CO US","2021-07-06","0.00","0.0","83","59"
"USC00050848","BOULDER, CO US","2021-07-07","0.20","0.0","87","56"
"USC00050848","BOULDER, CO US","2021-07-08","0.00","0.0","98","56"
"USC00050848","BOULDER, CO US","2021-07-09","0.00","0.0","94","67"
"USC00050848","BOULDER, CO US","2021-07-10","0.00","0.0","91","58"
"USC00050848","BOULDER, CO US","2021-07-11","0.00","0.0","84","52"
"USC00050848","BOULDER, CO US","2021-07-12","0.00","0.0","88","52"
"USC00050848","BOULDER, CO US","2021-07-13","0.15","0.0","87","62"
"USC00050848","BOULDER, CO US","2021-07-14","0.01","0.0","78","58"
"USC00050848","BOULDER, CO US","2021-07-15","0.02","0.0","82","52"
"USC00050848","BOULDER, CO US","2021-07-16","0.00","0.0","90","54"
